Sucursal;Division;Categoria;Grupo;Producto;ProdNombre;Proveedor;SALDOUNDTOTAL; Total Costo Und.
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000578;RELAY 90380,BOBINA 24;FRIOPARTES S A DE C.V.;1;L117.39
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000582;CONTROL REMOTO P.EVAP 3 TON Y 5 TON;FRIOPARTES S A DE C.V.;2;L878.26
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000591;BANDA DE A/C;SUPER REPUESTOS HONDURAS, S.A. DE C.V.;2;L543.52
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC00534;CONTROL REMOTO UNIVERSAL A/C;AIRE FRIO DE HONDURAS S. A DE C. V;7;L766.95
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;USA000082;USADO EVAP WHISPER-AIRE T/PISO T 24V 5 TON 13 SEER;SIN ESPESIFICAR;1;L5,000.00
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;USA000111;ROLLO TUBERIA DE COBRE USADO ;DANILOS STORE SA;2;L2.00
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;USA000122;USADO CORTINA DE AIRE ;SIN ESPESIFICAR;5;L5,000.00
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;USA000124;USADO VENTILADOR INDUSTRIAL ;SIN ESPESIFICAR;3;L3.00
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000318;TUBERIA 5/8 FLEXIBLE;AIRE FRIO DE HONDURAS S. A DE C. V;1;L2,003.14
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC00083;"TRAMPAS 1 1/8"" DE COBRE";FRIOPARTES S A DE C.V.;1;L272.17
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000088;EXTRACTOR DE AIRE #4;AGENCIA LA MUNDIAL S.A DE C.V;2;L495.72
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000598;CODO SOLDABLE 1 1/8 X 45;FRIOPARTES S A DE C.V.;11;L726.96
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000393;EASY POWER REF FLUSH LITROS;EQUIPOS Y REPUESTOS WOLOZNY S.A DE CV;1;L532.38
