MES;DEPARTAMENTO2;Serie Descripcion;Division;Categoria;Grupo;Proveedor;UNIDAD NEG 2025;UNIDAD POS 2026;COSTO NEG 2025;COSTO POS 2025;UNIDAD NEG 2026;UNIDAD NEG 2026;COSTO NEG 2026;COSTO POS 2026
ENERO;0;Diarios de Suministros;EMPAQUES;BOLSAS;BOLSA BASURA;;;;;;-86;;-L2,118.14;
ENERO;0;Diarios de Suministros;EMPAQUES;BOLSAS;BOLSA LISA;;-89;;-L2,047.57;;-153;;-L3,632.20;
ENERO;0;Diarios de Suministros;EMPAQUES;BOLSAS;BOLSA TOSTATA;;;22;;L21.50;-4;;-L102.31;
ENERO;0;Diarios de Suministros;EMPAQUES;FLEJE;FLEJE;;;;;;-20;;-L2,081.07;
ENERO;0;Diarios de Suministros;EMPAQUES;FLEJE;NAILON;;;;;;-1;;L0.00;
ENERO;0;Diarios de Suministros;FARMACEUTICOS;MEDICAMENTOS;MATERIAL QUIRURGICO;;;;;;-27;;-L945.00;
ENERO;0;Diarios de Suministros;FARMACEUTICOS;MEDICAMENTOS;MEDICAMENTOS;;;;;;-58;;-L2,650.57;
ENERO;0;Diarios de Suministros;HOGAR;MOBILIARIO;CAMA;;;;;;-34;;-L12,488.20;
ENERO;0;Diarios de Suministros;LIMPIEZA;UTENSILIOS LIMPIEZA;AMBIENTALES;;;;;;-501;;-L16,241.41;
ENERO;0;Diarios de Suministros;LIMPIEZA;UTENSILIOS LIMPIEZA;ANTIBACTERIAL;;-60;;-L1,730.38;;-36;;-L1,038.22;
ENERO;0;Diarios de Suministros;LIMPIEZA;UTENSILIOS LIMPIEZA;BOMBAS;;;;;;-2;;-L58.40;
ENERO;0;Diarios de Suministros;LIMPIEZA;UTENSILIOS LIMPIEZA;CHEMICOL;;;;;;-3;;-L5.12;
ENERO;0;Diarios de Suministros;LIMPIEZA;UTENSILIOS LIMPIEZA;DESENGRASANTE;;;;;;-8;;-L636.70;
ENERO;0;Diarios de Suministros;LIMPIEZA;UTENSILIOS LIMPIEZA;DESINFECTANTES;;;;;;-214;;-L9,196.94;
ENERO;0;Diarios de Suministros;LIMPIEZA;UTENSILIOS LIMPIEZA;DETERGENTE;;;;;;-41;;-L3,470.00;
ENERO;0;Diarios de Suministros;LIMPIEZA;UTENSILIOS LIMPIEZA;HIGIENE;;-21;;-L559.52;;-71;;-L6,834.73;
ENERO;0;Diarios de Suministros;LIMPIEZA;UTENSILIOS LIMPIEZA;JABON LIQUIDO;;;;;;-42;;-L2,520.00;
ENERO;0;Diarios de Suministros;LIMPIEZA;UTENSILIOS LIMPIEZA;JABON P/TRASTE;;;;;;-10;;-L35.62;
ENERO;0;Diarios de Suministros;LIMPIEZA;UTENSILIOS LIMPIEZA;LIMPIADOR MADERA;;;;;;-10;;-L10,021.90;
ENERO;0;Diarios de Suministros;LIMPIEZA;UTENSILIOS LIMPIEZA;LIMPIADORES DE VIDRIO;;;;;;-10;;-L300.17;
ENERO;0;Diarios de Suministros;LIMPIEZA;UTENSILIOS LIMPIEZA;PAPEL HIGIENICO;;;;;;-122;;-L13,849.58;
ENERO;0;Diarios de Suministros;LIMPIEZA;UTENSILIOS LIMPIEZA;TRAMPAS ROEDORES;;;;;;-2;;-L320.00;
ENERO;0;Diarios de Suministros;LIMPIEZA;UTENSILIOS LIMPIEZA;USO EXTERIORES LIMPIEZAS;;;;;;-8;;-L210.77;
ENERO;0;Diarios de Suministros;MECANICA;REPUESTOS Y ACCESORIOS;ACEITES;;;;;;-2;;-L244.62;
ENERO;0;Diarios de Suministros;MECANICA;REPUESTOS Y ACCESORIOS;BATERIAS VEHICULOS;;;;;;-1;;-L3,299.10;
ENERO;0;Diarios de Suministros;MECANICA;REPUESTOS Y ACCESORIOS;CONOS REFLECTIVOS;;;;;;-5;;-L325.55;
ENERO;0;Diarios de Suministros;SISTEMA ELECTRICO;ACCESORIOS ELECTRICOS;CONECTORES ELECTRICO;;;;;;-36;;-L91.61;
ENERO;0;Diarios de Suministros;SISTEMA ELECTRICO;ACCESORIOS ELECTRICOS;TUBOS;;;;;;-21;;-L6,090.00;
ENERO;0;Diarios de Suministros;SISTEMA ELECTRICO;ILUMINACIONES ELECTRICAS;ACCESORIOS;;;;;;-1;;-L420.02;
ENERO;0;Diarios de Suministros;SISTEMA ELECTRICO;ILUMINACIONES ELECTRICAS;LUZ PILOTO;;;;;;-9;;-L2,943.40;
ENERO;0;Diarios de Suministros;SISTEMA ELECTRICO;ILUMINACIONES ELECTRICAS;TUBOS/CANDELAS ILUMINACION;;;;;;-38;;-L5,491.99;
ENERO;0;Diarios de Suministros;SISTEMA ELECTRICO;INTERRUPTORES Y TOMACORRIENTES;INTERRUPTORES;;;;;;-15;;-L1,972.06;
ENERO;0;Diarios de Suministros;SISTEMA ELECTRICO;INTERRUPTORES Y TOMACORRIENTES;TOMACORRIENTES;;;;;;-16;;-L1,566.73;
ENERO;0;Diarios de Suministros;SISTEMA ELECTRICO;TRANSFERENCIAS Y CABLES;BREAKER DIFERENCIAL;;;;;;-7;;-L158.79;
ENERO;0;Diarios de Suministros;SISTEMA ELECTRICO;TRANSFERENCIAS Y CABLES;CABLES;;;;;;-1,497;;-L19,948.03;
ENERO;0;Diarios de Suministros;SISTEMA ELECTRICO;TRANSFERENCIAS Y CABLES;CAJAS;;;;;;-9;;-L217.94;
ENERO;0;Diarios de Suministros;SISTEMA ELECTRICO;TRANSFERENCIAS Y CABLES;CONTROLADOR;;;;;;-1;;-L410.00;
ENERO;0;Diarios de Suministros;SISTEMA ELECTRICO;TRANSFERENCIAS Y CABLES;MEDIDOR;;;;;;-2;;-L1,134.64;
ENERO;0;Diarios de Suministros;SISTEMA ELECTRICO;TUBERÍA CONDUIT;DUCTERIA;;;;;;-61;;-L5,602.72;
ENERO;0;Diarios Uniformes;ARTICULOS OFICINA;PAPELERIA Y UTILES;PORTA CARNET;;;;;;-19;;-L336.87;
ENERO;0;Diarios Uniformes;UNIFORMES;OPERATIVOS;CAMISETA POLO;;-3;;-L435.00;;-1;;-L145.00;
ENERO;0;Diarios Uniformes;UNIFORMES;OPERATIVOS;CAMISETA PROMOCION;;-1;;-L56.71;;;;;
ENERO;0;Historico de recepciones;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;;;;;;;2;;L2,219.13
ENERO;0;Historico de recepciones;ARTICULOS OFICINA;PAPELERIA Y UTILES;CUADERNO;;;;;;;3;;L164.70
ENERO;0;Historico de recepciones;ARTICULOS OFICINA;PAPELERIA Y UTILES;MOBILIARIO DE OFICINA;;;;;;;1;;L970.00
ENERO;0;Historico de recepciones;ARTICULOS OFICINA;PAPELERIA Y UTILES;SILICON;;;;;;;3;;L90.90
ENERO;0;Historico de recepciones;CARPINTERIA;LAMINA CONTRACHAPADO;PLAYWOOD;;;;;;;5;;L1,974.00
ENERO;0;Historico de recepciones;CONSTRUCCION;HERRAMIENTAS;HERRAMIENTAS DE CONSTRUCCION;;;;;;;3;;L489.21
ENERO;0;Historico de recepciones;CONSTRUCCION;MATERIALES;MATERIAL DE CONSTRUCCION;;;;;;;3;;L5,610.00
